rec_id,obc_timeStamp,obc_sensor,gps_validity,gps_utcTime,gps_latitude,gps_longitude,gps_fixQuality,gps_dilution,gps_speed,jm_netJoule,jm_voltage,jm_current,lfm_temperature,lfm_integratedCorrFlow,lfm_instantFlow,gps_lat,gps_long,gfs_netGasVolume,Lap,GPS Delta Distance(m),GPS Distance (m),GPS Speed (m/s),Acceleration (m/s^2),Grade (m/m),e_accel,e_grade,Roll Resistance coef,e_roll_resistance,e_drag,e_Road_Load_Total,e_Road_Load_netJoules,e_Road_Load_Total_Force,e_Road_Load_Work,LFM_vol_int,LFM_corr,LFM_corr_int,LFM Integrated Fuel Economy,Instant BSFC,Time,slope,slope_fill,distance
4811,11:45.9,ALL,ok,00.11.43,38°09.601877N,122°27.188569W,1,1.2,2.1,1336,13992,-3964,27.5,2.1127,3.447,38.09601877,122.2718857,,1,1.877711398,0.001877711,0.583333333,,,,,,,,,,,,,2.081023547,3.395317919,,,0.196083333,-0.1,-0.1,0
4812,11:46.0,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1310,13946,-3442,27.5,2.115,1.3786,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.083289063,1.357930166,,,0.196138889,,-0.1,0.002
4813,11:46.2,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1310,13946,-3442,27.5,2.1197,2.8557,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.087918594,2.812883487,,,0.196166667,,-0.1,0.002
4814,11:46.3,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1310,13946,-3442,27.5,2.1209,0.6894,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.089100602,0.679063584,,,0.196194444,,-0.1,0.002
4815,11:46.4,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1310,13946,-3442,27.5,2.1243,2.0681,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.092449624,2.037092251,,,0.196222222,,-0.1,0.002
4816,11:46.5,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1310,13946,-3442,27.5,2.1258,0.8863,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.093927134,0.873011393,,,0.19625,,-0.1,0.002
4817,11:46.6,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1287,13637,-1836,27.4,2.1266,0.506,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.094970219,0.498474057,,,0.196277778,,-0.1,0.002
4818,11:46.7,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1287,13637,-1836,27.4,2.1288,1.2805,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.097137497,1.261454606,,,0.196305556,,-0.1,0.002
4819,11:46.8,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1287,13637,-1836,27.4,2.1289,0.0984,38.09602835,122.2718899,,1,0,0.001877711,1.666666667,,,,,,,,,,,,,2.09723601,0.096936457,,,0.196333333,,-0.1,0.002
4820,11:46.9,ALL,ok,00.11.44,38°09.602835N,122°27.188991W,1,1.2,6,1287,13637,-1836,27.4,2.1321,1.8714,38.09602835,122.2718899,,1,3.362356879,0.005240068,1.666666667,,,,,,,,,,,,,2.100388415,1.843565911,,,0.196361111,,-0.1,0.002
4821,11:47.0,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1287,13637,-1836,27.3,2.1323,0.1355,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.100841203,0.133500907,,,0.196388889,-0.1,-0.1,0.005
4822,11:47.1,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1267,13620,-2950,27.3,2.1333,0.5909,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.101826449,0.582182182,,,0.196416667,,-0.1,0.005
4823,11:47.2,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1267,13620,-2950,27.3,2.1346,0.7881,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.10310727,0.7764728,,,0.196444444,,-0.1,0.005
4824,11:47.3,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1267,13620,-2950,27.3,2.1346,0,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.10310727,0,,,0.196472222,,-0.1,0.005
4825,11:47.4,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1267,13620,-2950,27.3,2.1354,0.4925,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.103895467,0.485233922,,,0.1965,,-0.1,0.005
4826,11:47.5,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1267,13620,-2950,27.3,2.1354,0,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.103895467,0,,,0.196527778,,-0.1,0.005
4827,11:47.6,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1249,13620,-2886,27.3,2.1364,0.5911,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.104880714,0.582379231,,,0.196555556,,-0.1,0.005
4828,11:47.7,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1249,13620,-2886,27.3,2.1364,0,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.104880714,0,,,0.196583333,,-0.1,0.005
4829,11:47.8,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1249,13620,-2886,27.3,2.1364,0,38.09604549,122.2718975,,1,0,0.005240068,2.694444444,,,,,,,,,,,,,2.104880714,0,,,0.196611111,,-0.1,0.005
4830,11:47.9,ALL,ok,00.11.45,38°09.604549N,122°27.189752W,1,1.2,9.7,1249,13620,-2886,27.3,2.1365,0.0984,38.09604549,122.2718975,,1,12.00581192,0.01724588,2.694444444,,,,,,,,,,,,,2.104979238,0.09694826,,,0.196638889,,-0.1,0.005
4831,11:48.0,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1249,13620,-2886,27.3,2.1365,0,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.104979238,0,,,0.196666667,-0.2,-0.2,0.017
4832,11:48.1,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1230,13604,-2689,27.3,2.1365,0,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.104979238,0,,,0.196694444,,-0.2,0.017
4833,11:48.2,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1230,13604,-2689,27.3,2.1365,0,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.104979238,0,,,0.196722222,,-0.2,0.017
4834,11:48.3,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1230,13604,-2689,27.3,2.137,0,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.105471861,0,,,0.19675,,-0.2,0.017
4835,11:48.4,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1230,13604,-2689,27.3,2.137,0,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.105471861,0,,,0.196777778,,-0.2,0.017
4836,11:48.5,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1214,13500,-1658,27.3,2.138,0.5911,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.106457108,0.582379231,,,0.196805556,,-0.2,0.017
4837,11:48.6,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1214,13500,-1658,27.3,2.138,0,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.106457108,0,,,0.196833333,,-0.2,0.017
4838,11:48.7,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1214,13500,-1658,27.3,2.1384,0.197,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.106851207,0.194093569,,,0.196861111,,-0.2,0.017
4839,11:48.8,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1214,13500,-1658,27.3,2.1393,0.5909,38.09610662,122.271925,,1,0,0.01724588,7.305555556,,,,,,,,,,,,,2.107737928,0.582182182,,,0.196888889,,-0.2,0.017
4840,11:48.9,ALL,ok,00.11.46,38°09.610662N,122°27.192495W,1,1.2,26.3,1214,13500,-1658,27.3,2.1393,0,38.09610662,122.271925,,1,7.470583703,0.024716464,7.305555556,,,,,,,,,,,,,2.107737928,0,,,0.196916667,,-0.2,0.017
4841,11:49.0,ALL,ok,00.11.47,38°09.614410N,122°27.194391W,1,1.2,27.1,1215,13037,202,27.3,2.1393,0,38.0961441,122.2719439,,1,0,0.024716464,7.527777778,,,,,,,,,,,,,2.107737928,0,,,0.196944444,-0.2,-0.2,0.025
4842,11:49.1,ALL,ok,00.11.47,38°09.614410N,122°27.194391W,1,1.2,27.1,1215,13037,202,27.3,2.1393,0,38.0961441,122.2719439,,1,0,0.024716464,7.527777778,,,,,,,,,,,,,2.107737928,0,,,0.196972222,,-0.2,0.025
4843,11:49.2,ALL,ok,00.11.47,38°09.614410N,122°27.194391W,1,1.2,27.1,1215,13037,202,27.3,2.14,0.3941,38.0961441,122.2719439,,1,0,0.024716464,7.527777778,,,,,,,,,,,,,2.108427601,0.388285662,,,0.197,,-0.2,0.025
