pc_time,gps_time,tow(sec),latitude(degrees),longitude(degrees),altitude(meters),h_accuracy(meters),v_accuracy(meters),n_sats,flags,a,e,v,,,,,,x,y,z
48:53.5,49:12.0,528552,38.1601366,-122.4532082,-22.0129,0.026,0.057,12,4,6356583.8,0.0819,6371818.383,,-3062202.126,-3927545.231,-5340647.669,,0,0,0
48:53.6,49:12.1,528552.1,38.16013662,-122.4532082,-22.0011,0.026,0.057,12,4,6356583.8,0.0819,6371818.383,,-3062202.101,-3927545.24,-5340647.679,,-3.9788,3.2256,0.035738
48:53.7,49:12.2,528552.2,38.16013664,-122.4532082,-22.0061,0.026,0.058,12,4,6356583.8,0.0819,6371818.383,,-3062202.068,-3927545.239,-5340647.675,,-7.8157,6.3196,0.10497
48:53.8,49:12.3,528552.3,38.16013662,-122.4532082,-22.0024,0.027,0.058,12,4,6356583.8,0.0819,6371818.383,,-3062202.101,-3927545.239,-5340647.678,,-11.796,9.4274,0.10772
48:53.9,49:12.4,528552.4,38.16013664,-122.4532082,-21.9947,0.027,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062202.074,-3927545.246,-5340647.685,,-15.703,12.473,0.14341
48:54.0,49:12.5,528552.5,38.16013663,-122.4532081,-22.0054,0.027,0.059,12,4,6356583.8,0.0819,6371818.383,,-3062202.076,-3927545.211,-5340647.682,,-19.61,15.532,0.18539
48:54.1,49:12.6,528552.6,38.16013664,-122.4532081,-22.0035,0.027,0.06,12,4,6356583.8,0.0819,6371818.383,,-3062202.061,-3927545.213,-5340647.683,,-23.545,18.747,0.24281
48:54.2,49:12.7,528552.7,38.16013674,-122.4532082,-21.9941,0.022,0.048,12,4,6356583.8,0.0819,6371818.383,,-3062201.922,-3927545.255,-5340647.685,,-27.356,21.859,0.26534
48:54.3,49:12.8,528552.8,38.16013674,-122.4532082,-21.9911,0.022,0.049,12,4,6356583.8,0.0819,6371818.383,,-3062201.924,-3927545.256,-5340647.688,,-31.319,25.043,0.30621
48:54.4,49:12.9,528552.9,38.16013671,-122.4532082,-21.9951,0.022,0.05,12,4,6356583.8,0.0819,6371818.383,,-3062201.967,-3927545.251,-5340647.684,,-35.196,28.083,0.34432
48:54.5,49:13.0,528553,38.16013673,-122.4532082,-21.9956,0.023,0.05,12,4,6356583.8,0.0819,6371818.383,,-3062201.937,-3927545.253,-5340647.684,,-39.14,31.14,0.36324
