x,y,z,,dy/dx,d2y/dx2,radio_inst,,
0,0,0,,,,8000,,
-3.9788,3.2256,0.035738,,,,8000,,
-7.8157,6.3196,0.10497,,-0.806380151,,8000,,
-11.796,9.4274,0.10772,,-0.780795417,-0.00642784,317.708364,,
-15.703,12.473,0.14341,,-0.779523931,-0.000325438,6263.572957,,
-19.61,15.532,0.18539,,-0.782953673,0.000877845,2333.674176,,
-23.545,18.747,0.24281,,-0.817026684,0.008658961,248.6827877,,
-27.356,21.859,0.26534,,-0.816583574,-0.000116271,18507.86401,,
-31.319,25.043,0.30621,,-0.803431744,-0.003318655,636.0418968,,
-35.196,28.083,0.34432,,-0.784111426,-0.004983316,411.7864527,,
-39.14,31.14,0.36324,,-0.77510142,-0.002284484,886.5641731,,
-43.066,34.3,0.4084,,-0.804890474,0.007587635,278.785111,,
-47.067,37.334,0.44874,,-0.758310422,-0.011642102,169.7867426,,
-50.962,40.342,0.50745,,-0.772272144,0.003584524,562.7076426,,
-54.922,43.411,0.52866,,-0.775,0.000688853,2939.734458,,
-58.921,46.46,0.54874,,-0.76244061,-0.003140633,633.1560055,,
-62.793,49.602,0.58008,,-0.811466942,0.012661759,168.6827817,,
-66.742,52.709,0.60309,,-0.786781464,-0.006251071,329.5535127,,
-70.602,55.808,0.64756,,-0.802849741,0.004162766,506.635508,,
-74.579,58.888,0.69913,,-0.774453105,-0.007140215,283.3858265,,
-78.573,61.977,0.73437,,-0.773410115,-0.000261139,7736.767245,,
-82.512,65.063,0.77665,,-0.783447576,0.002548226,804.5123396,,
-86.508,67.97,0.80147,,-0.727477477,-0.014006531,135.0130811,,
-90.522,71.083,0.8308,,-0.775535625,0.011972633,169.2710369,,
-94.525,73.975,0.85947,,-0.722458156,-0.013259423,141.6035561,,
-98.834,76.57,0.91471,,-0.602227895,-0.027902126,57.01022815,,
-102.83,79.515,0.987,,-0.736986987,0.033723496,56.84333397,,
-107.06,82.205,1.0446,,-0.635933806,-0.023889641,69.6677984,,
-111.16,85.003,1.1265,,-0.682439024,0.011342736,156.4444043,,
-115.48,87.617,1.1976,,-0.605092593,-0.017904267,89.18357264,,
-119.79,90.149,1.2977,,-0.587470998,-0.004088537,381.5703798,,
-123.96,92.899,1.4261,,-0.659472422,0.017266529,99.54722998,,
-128.14,95.604,1.5534,,-0.647129187,-0.002952927,572.2925636,,
-132.36,98.247,1.7003,,-0.626303318,-0.00493504,332.8801453,,
-136.54,101.04,1.8176,,-0.668181818,0.01001878,173.63926,,
-140.61,103.91,1.8384,,-0.705159705,0.009085476,201.6479877,,
